10:00;10:21;10:44;10:45;10:38;10:24;10:41;10:58;10:47;10:59;10:22;10:36;10:59;10:59;10:31;10:11;11:00;00:00;10:11;10:37;11:00;
10:00;10:32;10:57;10:45;10:38;10:58;10:59;10:12;10:30;10:40;10:11;10:37;10:25;10:59;11:00;10:19;10:47;10:55;10:22;10:42;11:00;
10:00;10:47;10:09;10:10;10:53;10:55;10:45;10:43;10:39;10:39;10:36;10:59;10:33;11:00;10:29;10:24;11:00;10:20;11:00;10:20;11:00;
10:00;10:06;10:10;10:17;10:19;10:24;10:26;10:39;10:42;00:00;00:00;10:44;10:47;10:49;10:50;10:52;00:00;10:54;10:55;10:57;11:00;
10:00;10:03;10:09;00:00;10:22;10:22;10:25;10:27;00:00;10:32;10:33;10:36;10:50;10:39;10:53;10:57;00:00;10:46;10:46;11:00;11:00;
10:01;10:07;10:13;10:14;10:15;00:00;10:26;10:29;10:32;11:01;10:35;10:39;10:40;11:00;10:57;10:46;10:46;10:48;10:53;10:56;11:01;
10:00;10:03;10:10;00:00;10:52;10:31;10:44;10:21;10:32;10:39;10:17;10:46;10:42;10:43;00:00;00:00;10:55;10:24;10:56;00:00;11:00;
10:00;10:04;11:00;10:05;10:10;10:15;10:17;10:22;10:28;10:40;10:41;10:44;10:47;10:48;10:50;10:51;10:53;10:58;10:56;10:58;11:00;
10:00;10:05;10:52;10:13;10:13;10:17;10:47;10:20;10:21;10:24;10:26;10:27;10:31;10:32;10:33;10:33;10:35;10:38;10:41;10:43;10:58;
10:00;10:03;10:05;10:09;10:13;10:18;10:24;10:27;10:29;10:32;10:39;10:43;10:45;10:47;10:47;10:50;10:51;10:51;10:52;10:53;10:58;
10:00;10:45;10:43;10:20;10:03;10:48;10:23;10:59;10:42;10:59;10:07;10:55;10:49;10:34;10:29;10:04;10:52;10:14;10:16;10:26;11:00;
10:00;10:21;00:00;00:00;10:24;00:00;10:42;00:00;10:10;10:19;10:06;10:37;10:47;10:34;10:26;10:16;10:49;10:44;10:49;10:39;11:00;
10:00;10:04;10:08;10:11;10:14;10:17;10:20;10:26;10:31;10:35;10:36;10:41;10:46;10:48;10:53;10:55;10:57;10:59;10:59;11:00;11:00;
10:01;00:00;10:04;10:32;10:42;10:09;10:15;10:29;10:17;10:57;10:18;10:49;10:56;10:59;11:01;10:21;10:53;11:00;10:37;10:23;11:01;
10:00;10:01;10:04;10:13;10:17;10:19;00:00;00:00;10:26;10:29;10:37;10:38;10:40;10:41;10:43;10:44;10:48;10:52;10:53;10:56;11:00;
10:00;10:55;10:05;10:07;10:08;10:10;10:11;10:11;10:14;10:17;10:19;10:59;10:22;10:56;10:31;10:34;10:40;10:41;10:43;10:51;10:59;
10:00;10:01;10:03;10:08;10:13;10:14;10:18;10:19;10:20;10:22;10:25;10:26;10:26;10:27;10:30;10:31;10:35;10:36;10:40;10:42;11:00;
10:00;10:02;10:04;10:05;10:07;10:42;10:10;10:12;10:13;10:15;10:19;10:20;10:46;10:25;10:28;10:32;10:50;10:52;10:39;10:40;10:55;
10:00;10:02;10:07;10:15;10:21;10:27;10:28;10:29;10:34;10:34;11:00;10:45;10:42;10:59;10:54;10:46;10:48;10:49;10:52;10:52;11:00;
10:00;10:12;10:14;10:15;10:20;10:28;10:31;10:32;10:34;10:38;10:40;10:41;10:43;10:44;00:00;10:51;10:57;10:59;10:59;11:00;11:00;
10:00;10:01;10:02;10:03;10:56;10:06;10:07;10:10;10:13;10:22;10:25;10:27;10:29;10:31;10:33;10:37;10:39;10:52;10:59;10:49;11:00;
10:03;10:05;10:46;10:07;10:11;10:13;10:14;10:15;10:17;10:17;10:19;10:21;10:22;10:25;10:27;10:34;10:34;10:40;10:42;10:43;10:52;
10:00;10:01;10:45;10:06;10:48;10:10;10:11;10:48;10:13;10:51;10:17;10:52;10:22;10:25;10:26;10:29;10:33;10:34;10:37;10:37;10:53;
10:00;10:54;10:03;10:03;10:08;10:57;10:52;10:15;10:50;10:20;10:23;10:25;10:25;10:59;00:00;10:33;10:37;10:45;00:00;10:41;11:00;
10:00;10:03;10:05;10:07;10:10;10:13;10:15;10:19;10:24;10:27;10:28;10:32;10:33;10:34;10:36;10:58;10:43;10:59;10:49;10:54;11:00;
10:00;10:00;10:01;10:47;10:47;10:04;10:05;10:07;10:41;10:54;10:43;10:45;10:18;10:48;10:23;10:25;10:28;10:34;10:55;10:35;10:56;
10:00;10:55;10:08;10:09;10:12;10:16;10:21;10:25;10:27;10:30;10:33;10:34;10:36;10:37;10:42;10:42;10:43;10:48;10:50;10:54;11:00;
10:00;10:04;10:06;10:09;10:27;00:00;10:21;00:00;10:34;00:00;10:37;00:00;10:45;10:49;10:51;10:52;10:53;11:00;00:00;10:58;11:00;
10:01;10:04;10:05;10:09;10:12;10:16;10:20;10:23;10:26;10:29;10:32;10:36;10:40;10:42;10:44;10:45;10:50;10:53;10:54;10:55;10:55;
10:00;10:02;10:03;10:04;10:45;10:09;10:09;10:11;10:52;10:15;10:16;10:19;10:54;10:24;10:26;10:27;10:28;10:36;10:36;10:38;10:59;
