1;7;11;15;10;13;2;18;12;8;9;14;4;5;17;3;16;6;19;
9;14;11;15;16;12;6;5;13;17;19;10;4;3;1;18;2;8;7;
18;17;6;4;2;11;7;13;15;19;16;9;3;5;10;14;8;12;1;
9;16;8;10;18;14;6;4;11;12;2;3;13;15;5;17;7;1;19;
17;5;4;9;1;14;19;12;8;3;2;13;10;7;6;11;16;15;18;
3;15;1;19;11;16;9;17;12;8;4;2;18;13;5;10;14;7;6;
2;15;6;18;4;8;9;19;10;1;7;3;5;11;17;13;14;16;12;
19;8;10;5;9;2;7;11;14;18;15;13;1;16;17;4;6;3;12;
13;6;17;1;16;11;18;19;8;12;4;15;2;14;10;9;5;3;7;
19;14;17;16;15;13;2;12;11;6;9;8;5;7;18;10;4;3;1;
17;1;16;2;4;10;6;14;12;8;15;9;18;13;3;5;11;19;7;
19;18;11;14;13;3;6;9;5;2;15;16;8;4;1;12;7;17;10;
4;13;11;19;14;18;17;2;15;10;12;6;16;9;3;1;7;8;5;
11;19;4;14;5;15;9;10;6;1;13;12;16;17;3;7;18;8;2;
4;15;18;3;10;6;11;12;8;9;14;7;17;13;1;16;5;2;19;
4;6;17;1;7;2;10;8;13;15;11;5;16;14;18;9;3;19;12;
19;13;15;12;5;3;11;14;2;10;8;1;4;6;7;9;18;17;16;
16;17;18;11;9;5;2;10;14;12;1;15;7;19;3;13;6;4;8;
3;8;11;16;7;13;2;18;19;6;17;14;12;15;1;4;9;5;10;
9;18;15;11;5;8;10;16;7;4;19;2;13;12;14;6;3;1;17;
2;17;1;8;3;19;16;14;9;11;13;18;10;5;4;15;6;12;7;
13;11;5;6;14;3;4;8;10;16;18;1;7;17;12;2;15;19;9;
19;13;10;6;16;14;11;2;8;17;5;3;9;15;18;12;4;7;1;
12;10;2;9;11;7;5;16;19;14;4;1;18;6;8;15;17;13;3;
9;7;3;19;10;13;17;15;12;1;2;8;5;16;11;4;18;6;14;
1;7;15;13;16;8;14;17;6;19;10;4;18;9;5;12;3;11;2;
6;10;2;18;15;5;16;8;12;11;4;19;7;14;1;17;3;9;13;
13;3;8;17;16;19;11;7;1;2;4;9;12;14;5;10;15;18;6;
13;10;7;4;14;3;11;6;17;18;9;19;12;15;8;5;1;16;2;
16;1;19;9;13;2;18;6;14;17;3;12;10;8;7;15;11;5;4;
